0.1,24.40,164.00,124.00
0.2,29.50,188.00,145.00
0.4,45.20,276.00,211.00
0.7,70.50,307.00,292.00
1,100.70,348.00,343.00
2,186.50,379.00,410.00
4,309.70,389.00,435.00
7,400.30,389.00,441.00
10,438.50,393.00,443.00
20,468.50,393.00,444.00
40,454.30,391.00,444.00
70,398.50,388.00,440.00
100,320.70,387.00,433.00
200,274.70,338.00,434.00
400,147.00,416.00,413.00
700,85.00,356.00,365.00
1000,60.50,346.00,316.00
2000,31.50,274.00,203.00
